id,source,destination,bitrate
0,0,14,175.85763990149104
1,25,11,162.39602650922768
2,22,24,208.40245414373467
3,5,6,133.6155062236536
4,5,3,369.7707803546779
5,21,5,378.34253793091057
6,16,25,252.7792580794118
7,18,15,308.63197942862246
8,11,18,364.4865852844024
9,3,24,279.52261128143124
10,13,6,303.37775798835736
11,10,17,258.640136697614
12,23,18,159.6665439204017
13,23,14,324.1969669687502
14,22,3,188.93588213627163
15,16,1,322.43996774929917
16,24,10,388.6101720117082
17,17,24,295.64991684650386
18,2,17,205.5118535794031
19,4,16,337.4078048453124
20,5,25,295.63318919184434
21,10,9,226.0795415021831
22,3,16,357.065941218269
23,23,24,189.1784457648704
24,0,1,185.86733505527613
25,6,19,319.4464947161299
26,4,20,313.96965346131446
27,21,4,178.37345289914836
28,2,8,218.14578958064402
29,8,20,298.3740690162274
30,4,23,380.63541756850583
31,3,2,386.2216638192235
32,18,19,255.69566173991362
33,0,21,369.4378427774595
34,20,23,383.53201282302666
35,1,20,175.4423810418561
36,8,22,149.40440196273883
37,27,4,207.2632054319879
38,14,15,375.4256318088097
39,22,3,175.5027896575275
40,22,6,258.2292666250448
41,24,4,396.89943802829004
42,13,10,162.12465248571587
43,8,12,272.0897111987663
44,21,26,133.88352556951426
45,22,25,250.77202216734833
46,26,14,210.93185180127105
47,11,12,287.52253424098006
48,19,17,165.16637380052947
49,24,2,175.84584564871454
50,5,19,353.5668680941177
51,21,26,273.80677681100013
52,9,12,292.741689123863
53,27,5,146.2198529073356
54,16,6,385.624147135597
55,8,7,140.9094519999578
56,2,19,226.54599972611481
57,5,4,266.9627522507866
58,25,27,159.86868042222622
59,13,15,172.99439746466064
60,1,11,303.467811336525
61,11,26,322.3566517579874
62,14,24,266.9511347596704
63,7,22,263.18193538680066
64,2,18,183.99454240065543
65,11,1,266.47261406671277
66,9,24,330.7207132914138
67,20,1,233.66628273346583
68,12,6,279.31097098569677
69,24,6,337.66549431435016
70,13,11,323.8924082155604
71,20,19,234.11427052599663
72,14,6,188.8985327376158
73,12,4,188.3938351524924
74,2,9,172.13403393773518
75,6,25,218.30038529773392
76,4,26,359.40190526416393
77,17,22,354.12125166062754
78,21,4,223.65169016947442
79,16,27,361.96449997945274
80,1,17,348.0125544044208
81,21,19,336.1789282595072
82,19,13,383.5468317260181
83,7,23,348.81262752896475
84,2,21,375.42059304077407
85,21,12,327.9346218593392
86,6,17,207.4357637908587
87,4,23,212.83230614785018
88,5,11,287.22149879952303
89,17,7,255.46610161124443
90,8,6,216.14586557695856
91,7,2,367.30793366549807
92,26,11,372.83356345860443
93,12,0,301.08739719467223
94,8,11,378.09914612059043
95,23,12,396.3204212300898
96,8,15,361.32395415788125
97,12,18,286.93544748042154
98,24,20,377.62600987104884
99,11,7,199.91190833354196
