id,source,destination,bitrate
0,7,27,385.29113531017043
1,0,10,264.66525830834314
2,6,23,234.65680894136162
3,18,20,173.44474268228416
4,7,21,245.19399925023464
5,27,14,323.83605926722527
6,14,20,349.1231306981724
7,14,19,231.36674540317003
8,22,23,269.70472738810065
9,4,2,184.42045234414317
10,7,22,332.26076238062535
11,25,21,362.427308125563
12,17,25,387.3177862800831
13,5,23,348.4493419073145
14,24,17,245.6149194997459
15,1,13,315.01113208570064
16,12,26,364.5721324913351
17,6,7,209.0718538034219
18,18,17,349.0449178828124
19,3,11,265.0209965886647
20,5,10,158.3837072417737
21,17,21,393.06783094215365
22,8,1,293.4225333233037
23,20,16,256.7269562135658
24,16,6,400.58251360348356
25,24,10,198.51067506670378
26,25,15,390.78442624530646
27,25,5,281.3657528265388
28,16,8,401.5747674866649
29,4,21,310.0495022766873
30,5,11,415.2717579584587
31,27,24,214.69463929256003
32,11,2,400.69277942792127
33,5,17,278.8276352099568
34,5,27,200.48586185156216
35,24,3,141.63615208403596
36,11,23,203.4175771037513
37,24,9,197.5517860991718
38,17,13,201.05129314795283
39,24,8,348.397896613029
40,0,2,367.63862229935205
41,7,8,195.61637257942544
42,18,5,240.1898885684957
43,25,0,141.9610655883166
44,20,13,387.08575744151113
45,26,22,197.51908624693965
46,4,13,152.5507735472064
47,8,26,139.21659839768347
48,18,11,157.1356235010337
49,5,2,206.47894543013194
50,20,1,239.7316863524763
51,7,19,392.8231951396929
52,23,24,156.86772103014178
53,7,11,343.33462925744004
54,19,5,329.34377356459447
55,9,26,195.15619680378262
56,2,18,170.81151293070027
57,27,0,273.1225205332644
58,0,16,286.9738599590296
59,15,21,303.9799851730804
60,12,8,254.746482547659
61,21,23,178.43969936591802
62,15,13,158.9433322966083
63,9,6,278.6941900621412
64,11,0,393.1461982855569
65,10,7,342.99251948479116
66,6,8,200.96924097596394
67,14,26,169.99257134058095
68,4,27,373.27500198770656
69,3,6,379.23564870739256
70,3,0,284.4527152537229
71,9,22,232.01349245998145
72,9,4,292.19619274236896
73,3,12,392.4922336365623
74,26,9,237.478175689691
75,6,14,404.26454709716137
76,15,21,304.15555041257386
77,11,15,322.91326711462557
78,1,13,406.62695815837577
79,19,9,227.86467566929127
80,1,26,359.72806923679406
81,25,2,291.05075289580617
82,27,10,253.66402481102125
83,17,14,321.1331396714194
84,26,27,170.23072311545945
85,19,18,359.6136626888954
86,9,22,200.92541881118984
87,5,9,153.25349764992023
88,14,9,217.67999384701764
89,8,2,412.7468451656829
90,7,8,197.62273812884212
91,24,10,290.1616311443702
92,26,12,317.5276591595758
93,14,18,228.35699862971967
94,11,27,198.07234307939217
95,17,11,413.0988904731001
96,26,24,273.5285496033716
97,17,18,287.08060280397444
98,22,14,236.36936613740593
99,16,13,209.08058775154785
