id,source,destination,bitrate
0,18,21,324.9269103536922
1,14,17,179.66652265690215
2,10,17,244.9579612220614
3,14,10,255.29199292891366
4,7,18,362.00115935950856
5,24,13,205.9409905809323
6,23,15,234.32893153703128
7,21,25,257.36090860614564
8,1,4,293.85832760437347
9,10,3,324.6269652772326
10,16,14,161.51701487058725
11,4,13,369.9195286490386
12,15,25,153.71766281545342
13,19,22,241.68465518733615
14,2,10,345.9573229584582
15,10,20,254.69736365203377
16,1,19,309.0395465624399
17,20,21,207.96011856180212
18,23,2,205.1872139221034
19,24,20,161.66664971236844
20,5,22,275.4522330606462
21,1,10,138.13196652128636
22,11,13,225.77833217169234
23,16,13,210.80444689435654
24,25,5,356.2058656212313
25,2,19,187.62335930869835
26,21,7,335.7468952090267
27,4,7,323.5430764127813
28,8,14,340.7437038592009
29,0,25,350.592007005588
30,21,17,223.58807967182923
31,14,11,153.75189987704417
32,20,13,229.87781209680145
33,9,6,280.66411248268713
34,3,7,288.52340141954375
35,11,18,320.5810010646656
36,9,0,361.9888292372226
37,0,18,222.4920476425829
38,23,15,330.26342562582636
39,25,7,388.000809439857
40,7,20,247.39563262817714
41,8,21,335.7961268706673
42,3,20,338.6079700958109
43,25,14,231.73361558524402
44,11,23,322.408415403764
45,9,10,158.94893320749344
46,6,4,187.85911315619734
47,16,8,249.67857511031403
48,15,25,214.0040810783619
49,10,25,376.84191859924107
50,2,4,283.836518593019
51,23,21,353.28076860128346
52,11,2,314.88151202886377
53,8,17,133.34671216151008
54,11,21,280.5794052347845
55,12,20,322.21573978548935
56,21,7,164.76606815154753
57,19,17,138.1036692147669
58,7,20,333.1884549587898
59,14,22,341.1584969229277
60,13,3,346.42203424580055
61,1,9,143.0878395998794
62,3,7,166.56140835252083
63,12,14,174.59475971620972
64,23,22,351.1690335574763
65,18,23,267.75540016538076
66,20,3,268.70297045434154
67,13,8,332.87700504566436
68,11,6,359.1838941934487
69,7,11,276.0086031313498
70,11,17,356.20814003424084
71,12,8,148.8685338801483
72,14,2,168.80590888033083
73,20,19,343.4831895267117
74,25,10,145.60242629581532
75,25,18,172.45302424593996
76,24,17,151.06580903212188
77,6,7,325.58712895717537
78,4,25,387.05610884385044
79,8,4,130.43833558186438
80,8,25,309.754587486643
81,21,0,166.13816397114888
82,11,25,133.1780578314048
83,10,0,325.1704479455053
84,1,4,215.94706037811858
85,3,23,304.5141308016064
86,14,24,286.29370095370314
87,18,3,298.78315300914045
88,7,19,296.6976271475992
89,25,21,371.7338176232631
90,14,20,229.19551556787425
91,15,12,149.01609708968562
92,3,15,356.9788420909716
93,2,10,153.59435838418332
94,2,4,177.35157977849954
95,20,18,335.5033080620333
96,10,12,366.0527302758875
97,9,14,304.4213858837506
98,13,3,330.19534959216156
99,20,24,346.01229848814523
