id,source,destination,bitrate
0,21,9,326.2911350261479
1,24,1,274.553706730068
2,2,21,279.1379813788042
3,23,1,229.05412696462824
4,3,18,157.3330815025115
5,15,1,171.0004663407048
6,12,17,260.14940529754455
7,5,18,225.6565442162246
8,2,10,220.00847330527716
9,20,18,198.17113515856124
10,25,0,353.1131029643468
11,23,22,209.46315906745534
12,23,21,193.13193634417664
13,13,0,216.8847188706893
14,18,25,228.44967953905945
15,17,7,306.60019976635317
16,6,19,285.55420436158016
17,16,9,201.0257889175472
18,12,18,182.25107211169959
19,9,8,336.9042429698997
20,3,22,347.97141270568915
21,20,19,222.794293924677
22,3,12,136.46393932291988
23,23,8,200.19754094682088
24,5,20,333.6057103527558
25,21,7,176.37955657154794
26,1,7,383.1612501044852
27,1,23,394.6191175170366
28,12,4,372.17312903112406
29,3,18,231.2850323952136
30,6,22,361.3221380235487
31,0,13,378.0459733622792
32,6,14,252.23050347680038
33,23,20,184.4832830409551
34,10,13,263.9473187454601
35,16,21,364.93979526436976
36,21,6,287.83589369231373
37,12,11,207.08301702456507
38,21,7,366.60489208078667
39,8,13,304.4735975908579
40,0,13,222.53495707147752
41,1,25,190.59758857548943
42,14,16,393.9972196213502
43,13,3,205.9858320328045
44,9,8,184.53385472070985
45,24,0,282.5130768694956
46,16,2,399.0980128498603
47,11,9,292.94994814758417
48,6,22,290.87571477917356
49,12,8,302.20081932031786
50,7,14,301.414764837962
51,24,7,141.481126779653
52,7,17,269.20809073982116
53,4,3,358.4640785564601
54,11,16,384.77950564494216
55,3,8,375.0087177840058
56,23,12,241.52686704470713
57,18,3,157.9069452999686
58,8,25,233.8721860032444
59,21,17,396.8213479703645
60,25,16,334.19303971083104
61,15,16,353.03055405770976
62,0,10,187.0634554493279
63,18,10,279.919818058263
64,6,5,301.796112352682
65,9,23,387.95386766891636
66,22,25,222.6835951372126
67,6,20,339.74373186451146
68,19,18,365.92277359296463
69,3,12,257.9838173150207
70,6,7,350.0144825004273
71,10,11,149.7457355125116
72,7,17,398.9400510050241
73,7,13,306.8246873960059
74,22,2,141.9115325473831
75,4,7,331.1512610547241
76,6,14,148.91485214967017
77,23,2,320.79733820958563
78,17,14,372.021089333146
79,23,6,211.22462359301417
80,3,1,263.094016711953
81,18,13,138.3386053682064
82,20,18,230.7666388784049
83,2,10,206.31719084835441
84,3,2,347.8471025648809
85,17,23,342.39629223518784
86,15,22,149.3674758640246
87,5,21,322.38661728917776
88,6,25,304.4499990075925
89,3,2,249.39934600043236
90,7,18,336.7143967331931
91,13,22,135.62505405172516
92,24,14,258.50243168910873
93,5,0,377.4383611711836
94,18,0,353.9039519764938
95,5,7,200.90816886134198
96,5,6,388.26251318762365
97,4,9,204.3846509691559
98,21,14,155.04554415850535
99,4,1,349.9002621368098
