id,source,destination,bitrate
0,10,2,320.8590163480167
1,6,5,377.4836177593797
2,21,6,257.4328474042177
3,20,22,168.02220608386511
4,20,14,167.34824206389095
5,6,0,146.58101127087218
6,12,2,305.2417759938462
7,17,25,323.71789194373287
8,10,1,140.80436686932302
9,3,6,262.6052244516406
10,17,4,379.37882054903383
11,1,23,160.94175292423913
12,0,15,371.39350354675696
13,22,20,211.36818770275704
14,20,1,188.06381242559416
15,19,5,266.0022685976866
16,3,15,154.51668400641984
17,25,6,157.80019500639196
18,21,12,390.9518458110048
19,18,17,337.0145201223996
20,24,1,208.73193079340686
21,2,3,249.30795584113986
22,13,5,395.6902408773147
23,7,18,287.2244463118671
24,25,20,168.0548476109921
25,5,0,396.02370801878726
26,0,5,123.20588994767992
27,22,25,294.466443627292
28,4,20,206.08166319195362
29,7,5,284.1474742648959
30,5,22,328.3175848153524
31,25,9,320.1577624066578
32,17,7,132.59017979048986
33,3,19,287.86311251692524
34,24,20,296.3158254017195
35,6,3,160.20707155275446
36,5,21,315.2241184507364
37,11,9,343.63760930896456
38,10,19,218.23456699489583
39,23,1,163.71747938710416
40,25,0,189.8698653873297
41,7,23,145.10057810172268
42,6,23,279.3719674921431
43,3,10,405.1526464515909
44,23,13,197.38012834327762
45,2,15,206.77237730497475
46,13,4,156.15361622390995
47,12,11,200.57694290075526
48,6,20,395.97823837574435
49,10,4,215.06200425066228
50,4,3,221.1530939729357
51,5,24,287.74195180326836
52,19,5,237.19418018514457
53,17,7,333.51096656395674
54,15,6,308.3595294911469
55,8,0,303.34564955596045
56,10,13,220.37417749484624
57,4,18,340.3229524621739
58,1,15,146.6079032958277
59,16,12,270.3649976626224
60,15,7,263.0756511732991
61,23,13,359.2103607128453
62,9,7,257.4537352819468
63,21,9,289.63339900248184
64,23,18,343.40989491078716
65,24,4,303.6809614249959
66,20,14,262.95065588720934
67,22,10,244.08675206389202
68,13,24,226.19064651131112
69,2,19,372.7715304509226
70,21,11,299.4959697165211
71,11,14,244.31689407743258
72,11,5,249.76413846754866
73,22,24,298.26472920476976
74,7,17,249.421952351508
75,24,18,400.8385274340232
76,11,8,247.83585417488115
77,1,2,225.95075304535018
78,15,16,290.63703845965904
79,22,17,270.78009316209074
80,19,11,306.624294481723
81,2,12,294.0230238408211
82,3,5,169.3304213875042
83,4,15,342.69904355553115
84,20,0,315.03817941077943
85,17,4,365.1685956615607
86,14,23,279.51948992153126
87,2,0,211.32665931694274
88,18,10,277.12332242814415
89,21,22,348.6577110881821
90,9,18,301.0841496976753
91,25,8,203.8428002171848
92,9,24,270.5037494160277
93,9,14,256.89130502509863
94,17,9,382.293180482973
95,22,21,379.74516796907255
96,3,1,217.34209899800808
97,8,11,287.20037523176467
98,22,1,329.56322629750355
99,11,14,185.04347653166556
